request_id,conversation_id,period,created_at,employee_id,employee_department,category,topic,question_text,route,answer_source,knowledge_version,user_confirmed_resolved,resolution_type,recontact_within_24h,peer_reask,feedback_score,response_seconds,input_tokens,output_tokens,api_call_count,retry_count,status_code,error_type,api_cost_krw
R000019,C00019,initial_1m,2026-06-08 11:44:00,E0065,IT운영,IT,VPN,VPN 설치/접속 방법 알려줘,RULE,RULE,,0,department,1,0,2.6,0.35,0,0,0,0,200,,0.0
R000020,C00020,initial_1m,2026-06-26 19:14:00,E0147,영업,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,unresolved,1,1,2.3,6.02,1469,650,1,0,200,,4.79
R000021,C00021,initial_1m,2026-06-18 20:18:00,E0146,인사,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,1,chatbot,0,0,3.8,7.58,1274,634,1,0,200,,4.45
R000022,C00022,initial_1m,2026-06-06 16:40:00,E0142,인사,IT,VPN,VPN 설치/접속 방법 알려줘,RULE,RULE,,0,coworker,0,1,2.5,0.68,0,0,0,0,200,,0.0
R000023,C00023,initial_1m,2026-06-25 16:49:00,E0040,영업,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,department,0,1,1.8,6.28,2496,259,1,0,200,,4.58
R000024,C00024,initial_1m,2026-06-23 23:03:00,E0231,디자인,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,coworker,0,0,2.2,4.85,1420,720,1,0,200,,5.01
R000025,C00025,initial_1m,2026-06-19 17:31:00,E0291,영업,재무,경비,경비 처리 절차 알려줘,RAG,RAG,경비_guide_v1,0,coworker,0,0,1.9,3.25,1400,384,1,0,200,,3.57
R000026,C00026,initial_1m,2026-06-08 20:58:00,E0200,고객지원,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,0,coworker,1,0,2.6,5.8,1905,592,1,0,200,,5.15
R000027,C00027,initial_1m,2026-06-26 01:06:00,E0058,영업,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,unresolved,0,0,1.7,3.5,1293,632,1,0,200,,4.46
R000028,C00028,initial_1m,2026-06-27 18:56:00,E0123,고객지원,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,1,chatbot,0,0,3.7,7.52,1480,565,1,0,200,,4.44
R000029,C00029,initial_1m,2026-06-10 16:56:00,E0083,기획,일반규정,교육,사내 교육 신청 방법 알려줘,LLM,LLM,,1,chatbot,1,1,4.1,4.47,1639,377,1,0,200,,3.88
R000030,C00030,initial_1m,2026-06-26 20:31:00,E0274,디자인,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,department,0,0,2.2,7.12,2379,361,1,0,200,,4.85
R000031,C00031,initial_1m,2026-06-08 16:07:00,E0222,재무,총무,비품,사무용 비품 신청 방법 알려줘,FAQ,FAQ,faq_비품_v1,0,coworker,1,0,1.0,0.82,0,0,0,0,200,,0.0
R000032,C00032,initial_1m,2026-06-23 11:42:00,E0071,디자인,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,coworker,0,0,2.1,4.14,1724,536,1,0,200,,4.66
R000033,C00033,initial_1m,2026-06-19 13:34:00,E0011,디자인,총무,택배/우편,사내 우편 발송 절차 알려줘,RAG,RAG,택배/우편_guide_v1,1,chatbot,1,0,4.2,4.42,1562,497,1,0,200,,4.27
R000034,C00034,initial_1m,2026-06-11 02:56:00,E0192,인사,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,coworker,0,1,2.0,8.07,2197,608,1,0,200,,5.63
R000035,C00035,initial_1m,2026-06-03 06:12:00,E0120,재무,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,0,coworker,1,0,2.1,5.69,2116,383,1,0,200,,4.57
R000036,C00036,initial_1m,2026-06-06 17:59:00,E0169,개발,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,department,0,0,1.2,5.49,2537,351,1,0,200,,5.03
R000037,C00037,initial_1m,2026-06-14 08:25:00,E0263,고객지원,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,coworker,0,0,3.4,5.94,2120,384,1,0,200,,4.58
R000038,C00038,initial_1m,2026-06-29 14:59:00,E0294,개발,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,0,unresolved,0,1,2.1,3.28,2037,553,1,0,200,,5.17
R000039,C00039,initial_1m,2026-06-28 06:40:00,E0076,인사,재무,출장비,출장비 정산 기준 알려줘,FAQ,FAQ,faq_출장비_v1,1,chatbot,1,1,3.5,0.35,0,0,0,0,200,,0.0
R000040,C00040,initial_1m,2026-06-12 01:24:00,E0145,재무,인사,급여,급여 지급/명세서 확인 방법 알려줘,RULE,RULE,,0,unresolved,0,1,2.4,0.32,0,0,0,0,200,,0.0
R000041,C00041,initial_1m,2026-06-08 18:48:00,E0165,기획,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,0,department,1,0,1.3,6.25,1489,579,1,0,200,,4.52
R000042,C00042,initial_1m,2026-06-18 23:50:00,E0086,IT운영,일반규정,보안,자료 반출 기준 알려줘,LLM,LLM,,1,chatbot,0,0,4.7,6.7,1916,377,1,0,200,,4.27
R000043,C00043,initial_1m,2026-06-24 05:51:00,E0259,재무,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,coworker,0,0,1.0,6.73,1422,306,1,0,200,,3.28
R000044,C00044,initial_1m,2026-06-18 03:44:00,E0133,재무,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,RULE,RULE,,0,unresolved,0,1,2.6,0.69,0,0,0,0,200,,0.0
R000045,C00045,initial_1m,2026-06-24 21:43:00,E0076,기획,인사,급여,급여 지급/명세서 확인 방법 알려줘,RULE,RULE,,0,coworker,1,1,3.1,0.46,0,0,0,0,200,,0.0
R000046,C00046,initial_1m,2026-06-29 03:00:00,E0043,고객지원,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,department,0,0,2.5,8.08,1503,508,1,0,200,,4.24
R000047,C00047,initial_1m,2026-06-15 17:22:00,E0232,인사,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,0,coworker,0,0,2.7,4.5,1357,711,1,0,200,,4.89
R000048,C00048,initial_1m,2026-06-29 16:29:00,E0030,고객지원,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,coworker,0,1,2.5,7.94,1425,500,1,0,200,,4.09
R000049,C00049,initial_1m,2026-06-22 08:06:00,E0157,IT운영,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,1,chatbot,1,1,4.9,7.87,1289,678,1,0,200,,4.65
R000050,C00050,initial_1m,2026-06-20 03:29:00,E0167,IT운영,총무,회의실,회의실 예약 방법 알려줘,RULE,RULE,,0,coworker,1,0,1.6,0.44,0,0,0,0,200,,0.0
R000051,C00051,initial_1m,2026-06-04 23:25:00,E0278,영업,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,unresolved,1,0,2.9,5.03,2035,504,1,0,200,,4.97
R000052,C00052,initial_1m,2026-06-02 09:42:00,E0059,디자인,일반규정,교육,사내 교육 신청 방법 알려줘,RAG,RAG,교육_guide_v1,0,coworker,0,1,2.5,4.57,1495,504,1,0,200,,4.21
R000053,C00053,initial_1m,2026-06-29 01:32:00,E0096,영업,재무,경비,경비 처리 절차 알려줘,RAG,RAG,경비_guide_v1,1,chatbot,0,1,4.1,4.94,1634,516,1,0,200,,4.45
R000054,C00054,initial_1m,2026-06-14 03:30:00,E0256,인사,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,1,chatbot,0,0,5.0,5.78,2212,583,1,0,200,,5.55
R000055,C00055,initial_1m,2026-06-20 15:06:00,E0277,디자인,일반규정,교육,사내 교육 신청 방법 알려줘,LLM,LLM,,0,department,0,1,1.5,8.1,2113,358,1,0,200,,4.46
R000056,C00056,initial_1m,2026-06-20 08:43:00,E0129,개발,일반규정,교육,사내 교육 신청 방법 알려줘,RAG,RAG,교육_guide_v1,0,coworker,1,0,3.3,5.13,2075,377,1,0,200,,4.49
R000057,C00057,initial_1m,2026-06-25 20:40:00,E0172,영업,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,0,department,1,1,1.9,7.96,2351,449,1,0,504,timeout,5.18
R000058,C00058,initial_1m,2026-06-26 17:44:00,E0099,고객지원,일반규정,교육,사내 교육 신청 방법 알려줘,LLM,LLM,,0,department,0,0,1.8,6.11,2401,445,1,0,200,,5.23
R000059,C00059,initial_1m,2026-06-26 21:08:00,E0048,기획,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,department,0,1,2.8,3.3,1871,705,1,0,200,,5.58
R000060,C00060,initial_1m,2026-06-14 03:55:00,E0186,디자인,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,0,department,1,1,2.1,6.54,1410,382,1,0,200,,3.58
R000061,C00061,initial_1m,2026-06-29 21:51:00,E0175,재무,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,0,coworker,0,1,2.8,4.36,1398,562,1,0,200,,4.32
R000062,C00062,initial_1m,2026-06-20 20:51:00,E0171,기획,IT,VPN,VPN 설치/접속 방법 알려줘,FAQ,FAQ,faq_VPN_v1,1,chatbot,0,1,4.3,0.64,0,0,0,0,200,,0.0
R000063,C00063,initial_1m,2026-06-22 13:18:00,E0259,영업,IT,계정,계정 잠금 해제 방법 알려줘,LLM,LLM,,0,coworker,1,1,2.4,4.17,1646,343,1,0,200,,3.74
R000064,C00064,initial_1m,2026-06-06 05:33:00,E0097,기획,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,coworker,1,1,2.0,4.38,1370,527,1,0,200,,4.13
R000065,C00065,initial_1m,2026-06-14 08:43:00,E0180,고객지원,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,coworker,1,0,1.4,4.4,2417,686,1,0,200,,6.26
R000066,C00066,initial_1m,2026-06-29 17:14:00,E0065,개발,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,1,chatbot,1,1,4.0,6.91,2450,705,2,1,504,timeout,12.78
R000067,C00067,initial_1m,2026-06-11 06:58:00,E0003,고객지원,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,1,chatbot,0,0,3.0,6.15,1341,330,1,0,200,,3.26
R000068,C00068,initial_1m,2026-06-19 15:09:00,E0070,고객지원,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,coworker,1,0,1.5,3.26,2151,717,1,0,200,,6.02
R000069,C00069,initial_1m,2026-06-28 04:03:00,E0235,기획,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,1,chatbot,0,0,3.5,4.39,2500,712,1,0,200,,6.49
R000070,C00070,initial_1m,2026-06-21 23:11:00,E0229,개발,인사,근태,근태 수정 절차 알려줘,LLM,LLM,,0,coworker,0,1,3.3,7.75,1509,271,1,0,200,,3.25
R000071,C00071,initial_1m,2026-06-06 08:11:00,E0162,기획,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,coworker,0,0,2.8,6.63,1526,389,1,0,200,,3.77
R000072,C00072,initial_1m,2026-06-28 20:33:00,E0179,개발,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,1,chatbot,1,0,4.2,5.15,1918,544,1,0,200,,4.97
R000073,C00073,initial_1m,2026-06-12 14:27:00,E0132,고객지원,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,department,1,1,2.5,6.42,1931,449,1,0,429,rate_limit,4.59
R000074,C00074,initial_1m,2026-06-12 23:35:00,E0255,IT운영,IT,계정,계정 잠금 해제 방법 알려줘,LLM,LLM,,1,chatbot,1,0,3.5,8.09,1216,657,1,0,200,,4.46
R000075,C00075,initial_1m,2026-06-30 00:31:00,E0154,인사,재무,경비,경비 처리 절차 알려줘,LLM,LLM,,0,department,1,1,1.8,8.09,2450,520,1,0,200,,5.61
R000076,C00076,initial_1m,2026-06-20 04:19:00,E0141,고객지원,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,coworker,1,0,1.4,5.94,1618,612,1,0,200,,4.84
R000077,C00077,initial_1m,2026-06-03 02:03:00,E0120,영업,인사,근태,근태 수정 절차 알려줘,RAG,RAG,근태_guide_v1,0,department,1,0,2.4,3.3,1901,276,1,0,200,,3.82
R000078,C00078,initial_1m,2026-06-29 18:28:00,E0034,디자인,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,department,1,0,2.3,8.03,1540,436,1,0,200,,3.99
R000079,C00079,initial_1m,2026-06-14 19:53:00,E0091,IT운영,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,1,chatbot,1,0,4.6,7.19,1406,376,1,0,200,,3.55
R000080,C00080,initial_1m,2026-06-16 08:46:00,E0191,인사,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,document,1,0,2.5,5.57,2402,464,1,0,200,,5.31
R000081,C00081,initial_1m,2026-06-02 13:22:00,E0216,영업,일반규정,교육,사내 교육 신청 방법 알려줘,RULE,RULE,,0,coworker,0,0,2.9,0.26,0,0,0,0,200,,0.0
R000082,C00082,initial_1m,2026-06-08 11:48:00,E0103,개발,재무,출장비,출장비 정산 기준 알려줘,LLM,LLM,,0,document,0,0,3.1,7.19,2063,720,1,0,200,,5.91
R000083,C00083,initial_1m,2026-06-14 10:31:00,E0032,디자인,IT,네트워크,사내 인터넷 연결이 불안정해,FAQ,FAQ,faq_네트워크_v1,1,chatbot,0,0,4.9,0.28,0,0,0,0,200,,0.0
R000084,C00084,initial_1m,2026-06-28 17:03:00,E0268,고객지원,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,unresolved,1,0,2.2,6.44,1584,488,2,1,200,,8.53
R000085,C00085,initial_1m,2026-06-23 20:08:00,E0158,개발,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,coworker,0,1,1.6,6.1,1370,569,1,0,500,server_error,4.31
R000086,C00086,initial_1m,2026-06-11 22:31:00,E0022,영업,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,1,chatbot,0,1,2.8,5.09,1741,715,1,0,200,,5.44
R000087,C00087,initial_1m,2026-06-15 15:14:00,E0001,기획,총무,택배/우편,사내 우편 발송 절차 알려줘,FAQ,FAQ,faq_택배/우편_v1,1,chatbot,1,1,4.7,0.54,0,0,0,0,200,,0.0
R000088,C00088,initial_1m,2026-06-15 18:56:00,E0137,고객지원,IT,계정,계정 잠금 해제 방법 알려줘,RAG,RAG,계정_guide_v1,0,document,0,1,3.1,3.95,1686,273,1,0,200,,3.51
R000089,C00089,initial_1m,2026-06-26 11:04:00,E0050,기획,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,document,0,1,2.5,7.54,2043,528,1,0,200,,5.08
R000090,C00090,initial_1m,2026-06-12 04:43:00,E0291,IT운영,인사,급여,급여 지급/명세서 확인 방법 알려줘,LLM,LLM,,0,unresolved,1,0,2.5,6.43,1260,491,1,0,200,,3.83
R000091,C00091,initial_1m,2026-06-15 13:23:00,E0270,디자인,인사,급여,급여 지급/명세서 확인 방법 알려줘,RAG,RAG,급여_guide_v1,0,coworker,0,0,1.6,4.81,1855,359,1,0,200,,4.1
R000092,C00092,initial_1m,2026-06-26 22:58:00,E0013,개발,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,coworker,1,0,1.3,6.37,1339,436,1,0,200,,3.71
R000093,C00093,initial_1m,2026-06-25 06:10:00,E0063,고객지원,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,1,chatbot,0,0,5.0,4.75,1531,509,1,0,200,,4.28
R000094,C00094,initial_1m,2026-06-05 04:10:00,E0183,재무,인사,복지,복지포인트 사용 방법 알려줘,RAG,RAG,복지_guide_v1,1,chatbot,1,0,3.9,6.86,1956,257,1,0,200,,3.82
R000095,C00095,initial_1m,2026-06-22 23:39:00,E0172,디자인,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,0,department,1,0,2.8,7.36,2304,552,1,0,200,,5.54
R000096,C00096,initial_1m,2026-06-02 22:14:00,E0211,디자인,일반규정,재택근무,재택근무 규정 알려줘,LLM,LLM,,0,department,0,1,1.0,5.53,1291,586,1,0,200,,4.27
R000097,C00097,initial_1m,2026-06-29 06:52:00,E0187,기획,일반규정,교육,사내 교육 신청 방법 알려줘,LLM,LLM,,0,unresolved,1,0,2.2,5.21,1331,629,1,0,200,,4.51
R000098,C00098,initial_1m,2026-06-11 20:18:00,E0192,인사,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,0,unresolved,1,1,2.5,6.53,2379,514,1,0,200,,5.49
R000099,C00099,initial_1m,2026-06-12 05:31:00,E0266,영업,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,1,chatbot,1,0,4.2,7.81,1349,385,1,0,200,,3.51
R000100,C00100,initial_1m,2026-06-18 00:28:00,E0223,재무,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,department,0,1,3.0,3.97,1588,704,2,1,200,,10.36
R000101,C00101,initial_1m,2026-06-27 01:27:00,E0248,기획,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,department,0,0,1.0,7.81,1867,438,1,0,200,,4.45
R000102,C00102,initial_1m,2026-06-15 18:47:00,E0087,인사,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,unresolved,0,1,2.3,5.88,2292,588,1,0,200,,5.68
R000103,C00103,initial_1m,2026-06-25 20:12:00,E0229,영업,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,coworker,0,1,2.3,5.97,2067,429,1,0,200,,4.7
R000104,C00104,initial_1m,2026-06-24 17:52:00,E0189,IT운영,일반규정,보안,자료 반출 기준 알려줘,LLM,LLM,,0,coworker,0,0,2.2,3.27,1443,660,1,0,200,,4.79
R000105,C00105,initial_1m,2026-06-16 08:25:00,E0181,재무,총무,회의실,회의실 예약 방법 알려줘,LLM,LLM,,1,chatbot,0,0,3.9,6.01,2308,423,1,0,200,,5.01
R000106,C00106,initial_1m,2026-06-19 11:52:00,E0254,IT운영,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,unresolved,1,0,2.7,5.12,1588,596,1,0,200,,4.73
R000107,C00107,initial_1m,2026-06-29 04:46:00,E0210,개발,총무,택배/우편,사내 우편 발송 절차 알려줘,LLM,LLM,,0,document,0,1,1.8,8.05,1900,537,2,1,200,,9.83
R000108,C00108,initial_1m,2026-06-03 14:01:00,E0064,기획,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,0,document,1,0,1.9,7.76,2225,439,1,0,200,,4.96
R000109,C00109,initial_1m,2026-06-25 10:20:00,E0170,고객지원,IT,VPN,VPN 설치/접속 방법 알려줘,RULE,RULE,,0,coworker,1,1,1.7,0.43,0,0,0,0,200,,0.0
R000110,C00110,initial_1m,2026-06-10 13:43:00,E0294,개발,인사,복지,복지포인트 사용 방법 알려줘,RULE,RULE,,0,unresolved,1,1,2.2,0.46,0,0,0,0,200,,0.0
R000111,C00111,initial_1m,2026-06-25 20:16:00,E0044,인사,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,coworker,0,1,2.0,3.57,1362,683,1,0,200,,4.78
R000112,C00112,initial_1m,2026-06-06 14:48:00,E0259,고객지원,일반규정,보안,자료 반출 기준 알려줘,LLM,LLM,,1,chatbot,0,0,4.5,4.04,1205,349,1,0,200,,3.15
R000113,C00113,initial_1m,2026-06-19 19:17:00,E0260,개발,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,department,0,1,1.3,6.84,1255,511,1,0,200,,3.9
R000114,C00114,initial_1m,2026-06-05 04:05:00,E0268,IT운영,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,unresolved,0,1,2.5,3.35,2550,437,1,0,200,,5.41
R000115,C00115,initial_1m,2026-06-24 19:31:00,E0257,기획,일반규정,재택근무,재택근무 규정 알려줘,RULE,RULE,,0,coworker,0,1,1.4,0.42,0,0,0,0,200,,0.0
R000116,C00116,initial_1m,2026-06-25 12:19:00,E0190,영업,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,1,chatbot,0,1,4.4,6.41,2527,667,1,0,200,,6.34
R000117,C00117,initial_1m,2026-06-11 08:31:00,E0007,재무,총무,회의실,회의실 예약 방법 알려줘,RULE,RULE,,0,unresolved,0,0,4.3,0.24,0,0,0,0,200,,0.0
R000118,C00118,initial_1m,2026-06-02 17:21:00,E0154,디자인,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,0,document,1,0,2.5,4.31,1644,530,1,0,200,,4.53
R000119,C00119,initial_1m,2026-06-28 09:50:00,E0107,재무,IT,계정,계정 잠금 해제 방법 알려줘,LLM,LLM,,0,unresolved,0,1,1.0,7.01,2291,662,1,0,200,,5.99
R000120,C00120,initial_1m,2026-06-24 19:31:00,E0209,기획,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,FAQ,FAQ,faq_프로그램 설치_v1,1,chatbot,1,1,3.3,0.56,0,0,0,0,200,,0.0
R000121,C00121,initial_1m,2026-06-06 12:03:00,E0228,영업,IT,프로그램 설치,업무 프로그램 설치 절차 알려줘,LLM,LLM,,0,coworker,0,1,1.4,7.2,1957,501,1,0,200,,4.84
R000122,C00122,initial_1m,2026-06-27 17:34:00,E0198,영업,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,unresolved,1,0,2.5,7.06,1553,689,1,0,200,,5.07
R000123,C00123,initial_1m,2026-06-07 03:00:00,E0197,재무,IT,계정,계정 잠금 해제 방법 알려줘,LLM,LLM,,0,department,1,0,4.0,7.14,2090,504,1,0,200,,5.04
R000124,C00124,initial_1m,2026-06-24 19:42:00,E0200,디자인,총무,비품,사무용 비품 신청 방법 알려줘,LLM,LLM,,1,chatbot,1,1,2.9,5.82,1317,392,2,1,200,,6.98
R000125,C00125,initial_1m,2026-06-27 15:54:00,E0055,개발,재무,법인카드,법인카드 정산 방법 알려줘,LLM,LLM,,0,unresolved,1,0,2.7,3.97,1515,431,1,0,200,,3.93
R000126,C00126,initial_1m,2026-06-09 11:37:00,E0029,디자인,총무,회의실,회의실 예약 방법 알려줘,RAG,RAG,회의실_guide_v1,1,chatbot,1,0,3.5,7.35,2278,435,1,0,200,,5.02
R000127,C00127,initial_1m,2026-06-10 12:11:00,E0267,고객지원,일반규정,재택근무,재택근무 규정 알려줘,LLM,LLM,,0,department,1,0,3.3,7.34,1783,264,1,0,200,,3.6
R000128,C00128,initial_1m,2026-06-20 13:58:00,E0089,디자인,IT,네트워크,사내 인터넷 연결이 불안정해,LLM,LLM,,0,coworker,1,0,1.4,7.7,2457,427,1,0,200,,5.23
R000129,C00129,initial_1m,2026-06-24 03:26:00,E0139,개발,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,1,chatbot,1,0,3.2,7.35,1777,601,1,0,200,,5.01
R000130,C00130,initial_1m,2026-06-14 14:00:00,E0029,디자인,인사,복지,복지포인트 사용 방법 알려줘,LLM,LLM,,0,coworker,0,0,2.8,6.52,1382,541,1,0,200,,4.21
R000131,C00131,initial_1m,2026-06-01 10:43:00,E0252,고객지원,IT,VPN,VPN 설치/접속 방법 알려줘,LLM,LLM,,0,document,1,0,1.0,7.9,2477,294,1,0,200,,4.7
R000132,C00132,initial_1m,2026-06-29 19:52:00,E0131,인사,인사,연차,연차 신청 방법 알려줘,LLM,LLM,,0,unresolved,0,1,1.6,4.57,2099,479,1,0,200,,4.95
R000133,C00133,initial_1m,2026-06-09 03:54:00,E0255,영업,IT,VPN,VPN 설치/접속 방법 알려줘,FAQ,FAQ,faq_VPN_v1,1,chatbot,1,0,4.5,0.67,0,0,0,0,200,,0.0
